1._age_group,2.gender,3.daily_screen_time,"4._when_you_are_stressed,_you_usually","5._when_someone_criticizes_you,_you","6._during_conflicts,_you_tend_to","7._after_failure,_you",8._you_make_decisions_mainly_based_on,"9._before_making_an_important_decision,_you","10._after_making_decisions,_you_usually","11._in_social_gatherings,_you","12._when_meeting_new_people,_you",13._peer_pressure_affects_you,"14._under_academic/work_pressure,_you","15._when_faced_with_sudden_change,_you","16._when_reading_information_online,_you","17._if_proven_wrong,_you","18._when_solving_problems,_you"
18-20,Male,4-6 hours,Stay calm and think logically,Accept and reflect,Argue strongly,Try again immediately,Logical reasoning,Analyze pros and cons,Doubt yourself,Talk to a few close individuals,Start the conversation,Strongly,Stay productive,Adapt quickly,Verify from multiple sources,Accept immediately,Consider multiple perspectives
18-20,Prefer not to say,Less than 2 hours,Feel anxious but manage it,Defend yourself immediately,Avoid confrontation,Try again immediately,Emotional instinct,Ask multiple people,Doubt yourself,Talk to a few close individuals,Feel nervous but try,Slightly,Stay productive,Adapt quickly,Trust what matches your beliefs,Defend your point,Stick to one method
18-20,Female,4-6 hours,Feel anxious but manage it,Accept and reflect,Solve the issue calmly,Try again immediately,Logical reasoning,Analyze pros and cons,Overthink repeatedly,Stay quiet mostly,Start the conversation,Moderately,Feel stressed but continue,Adapt quickly,Verify from multiple sources,Accept immediately,Consider multiple perspectives
18-20,Male,4-6 hours,Feel anxious but manage it,Accept and reflect,Solve the issue calmly,Take time to recover,Logical reasoning,Analyze pros and cons,Overthink repeatedly,Talk to a few close individuals,Feel nervous but try,Moderately,Feel stressed but continue,Take time to adjust,Verify from multiple sources,Accept but feel uncomfortable,Consider multiple perspectives
18-20,Male,4-6 hours,Stay calm and think logically,Ignore it,Solve the issue calmly,Take time to recover,Logical reasoning,Analyze pros and cons,Feel confident,Actively interact with many people,Feel nervous but try,Moderately,Stay productive,Adapt quickly,Believe familiar sources,Accept immediately,Consider multiple perspectives
18-20,Male,6-8 hours,Withdraw from the situation,Accept and reflect,Solve the issue calmly,Take time to recover,Logical reasoning,Analyze pros and cons,Rarely think about it again,Talk to a few close individuals,Start the conversation,Moderately,Feel stressed but continue,Take time to adjust,Trust what matches your beliefs,Defend your point,Consider multiple perspectives
18-20,Male,6-8 hours,Stay calm and think logically,Accept and reflect,Solve the issue calmly,Take time to recover,Logical reasoning,Analyze pros and cons,Overthink repeatedly,Talk to a few close individuals,Feel nervous but try,Moderately,Feel stressed but continue,Take time to adjust,Verify from multiple sources,Accept but feel uncomfortable,Stick to one method
18-20,Male,More than 8 hours,Stay calm and think logically,Accept and reflect,Solve the issue calmly,Take time to recover,Logical reasoning,Analyze pros and cons,Rarely think about it again,Actively interact with many people,Start the conversation,Not at all,Stay productive,Take time to adjust,Verify from multiple sources,Accept immediately,Consider multiple perspectives
18-20,Male,2-4 hours,Feel anxious but manage it,Ignore it,Solve the issue calmly,Try again immediately,Logical reasoning,Analyze pros and cons,Overthink repeatedly,Actively interact with many people,Start the conversation,Strongly,Feel stressed but continue,Take time to adjust,Verify from multiple sources,Accept but feel uncomfortable,Consider multiple perspectives
Above 26,Male,6-8 hours,Feel anxious but manage it,Feel upset for a long time,Argue strongly,Take time to recover,Situational pressure,Analyze pros and cons,Overthink repeatedly,Talk to a few close individuals,Wait for others to start,Moderately,Feel stressed but continue,Adapt quickly,Rarely verify,Accept but feel uncomfortable,Consider multiple perspectives
24-26,Male,4-6 hours,React emotionally,Accept and reflect,Solve the issue calmly,Take time to recover,Emotional instinct,Go with your first instinct,Feel confident,Stay quiet mostly,Wait for others to start,Moderately,Feel stressed but continue,Take time to adjust,Trust what matches your beliefs,Accept but feel uncomfortable,Ask others for help
18-20,Male,More than 8 hours,Stay calm and think logically,Accept and reflect,Solve the issue calmly,Take time to recover,Emotional instinct,Go with your first instinct,Feel confident,Talk to a few close individuals,Wait for others to start,Slightly,Feel stressed but continue,Take time to adjust,Verify from multiple sources,Accept but feel uncomfortable,Consider multiple perspectives
18-20,Male,More than 8 hours,Stay calm and think logically,Defend yourself immediately,Solve the issue calmly,Feel demotivated,Logical reasoning,Analyze pros and cons,Doubt yourself,Talk to a few close individuals,Wait for others to start,Not at all,Stay productive,Adapt quickly,Verify from multiple sources,Accept but feel uncomfortable,Avoid complex problems
18-20,Female,4-6 hours,Withdraw from the situation,Defend yourself immediately,Avoid confrontation,Take time to recover,Emotional instinct,Analyze pros and cons,Overthink repeatedly,Actively interact with many people,Start the conversation,Moderately,Procrastinate,Adapt quickly,Verify from multiple sources,Accept but feel uncomfortable,Ask others for help
21-23,Male,Less than 2 hours,React emotionally,Accept and reflect,Solve the issue calmly,Try again immediately,Emotional instinct,Analyze pros and cons,Feel confident,Talk to a few close individuals,Start the conversation,Strongly,Feel stressed but continue,Take time to adjust,Verify from multiple sources,Accept immediately,Consider multiple perspectives
18-20,Male,4-6 hours,Stay calm and think logically,Ignore it,Avoid confrontation,Try again immediately,Logical reasoning,Analyze pros and cons,Overthink repeatedly,Avoid attending,Avoid interaction,Not at all,Feel stressed but continue,Take time to adjust,Verify from multiple sources,Accept but feel uncomfortable,Ask others for help
18-20,Male,More than 8 hours,Feel anxious but manage it,Ignore it,Seek third-person support,Blame external factors,Situational pressure,Ask multiple people,Overthink repeatedly,Avoid attending,Feel nervous but try,Strongly,Feel stressed but continue,Take time to adjust,Believe familiar sources,Accept immediately,Avoid complex problems
24-26,Male,2-4 hours,Feel anxious but manage it,Accept and reflect,Solve the issue calmly,Feel demotivated,Situational pressure,Analyze pros and cons,Doubt yourself,Talk to a few close individuals,Wait for others to start,Slightly,Feel stressed but continue,Take time to adjust,Believe familiar sources,Accept but feel uncomfortable,Consider multiple perspectives
18-20,Female,4-6 hours,Feel anxious but manage it,Ignore it,Argue strongly,Feel demotivated,Situational pressure,Analyze pros and cons,Doubt yourself,Avoid attending,Feel nervous but try,Moderately,Feel stressed but continue,Take time to adjust,Verify from multiple sources,Accept but feel uncomfortable,Consider multiple perspectives
18-20,Female,6-8 hours,Feel anxious but manage it,Defend yourself immediately,Solve the issue calmly,Take time to recover,Situational pressure,Analyze pros and cons,Doubt yourself,Talk to a few close individuals,Feel nervous but try,Moderately,Feel stressed but continue,Take time to adjust,Believe familiar sources,Accept but feel uncomfortable,Stick to one method
18-20,Male,2-4 hours,Stay calm and think logically,Accept and reflect,Solve the issue calmly,Take time to recover,Logical reasoning,Analyze pros and cons,Overthink repeatedly,Stay quiet mostly,Feel nervous but try,Moderately,Stay productive,Take time to adjust,Verify from multiple sources,Accept immediately,Avoid complex problems
18-20,Male,More than 8 hours,Feel anxious but manage it,Feel upset for a long time,Argue strongly,Take time to recover,Emotional instinct,Analyze pros and cons,Rarely think about it again,Talk to a few close individuals,Wait for others to start,Moderately,Feel stressed but continue,Take time to adjust,Believe familiar sources,Defend your point,Consider multiple perspectives
18-20,Male,2-4 hours,Stay calm and think logically,Accept and reflect,Solve the issue calmly,Take time to recover,Logical reasoning,Analyze pros and cons,Rarely think about it again,Actively interact with many people,Start the conversation,Moderately,Lose focus,Adapt quickly,Verify from multiple sources,Accept immediately,Consider multiple perspectives
18-20,Male,4-6 hours,Withdraw from the situation,Ignore it,Seek third-person support,Feel demotivated,Advice from others,Ask multiple people,Doubt yourself,Talk to a few close individuals,Feel nervous but try,Moderately,Procrastinate,Take time to adjust,Verify from multiple sources,Accept but feel uncomfortable,Ask others for help
18-20,Male,2-4 hours,Withdraw from the situation,Defend yourself immediately,Argue strongly,Try again immediately,Logical reasoning,Analyze pros and cons,Rarely think about it again,Stay quiet mostly,Avoid interaction,Not at all,Stay productive,Adapt quickly,Believe familiar sources,Defend your point,Consider multiple perspectives
18-20,Male,2-4 hours,Feel anxious but manage it,Ignore it,Solve the issue calmly,Take time to recover,Logical reasoning,Analyze pros and cons,Rarely think about it again,Talk to a few close individuals,Start the conversation,Slightly,Feel stressed but continue,Adapt quickly,Verify from multiple sources,Accept immediately,Consider multiple perspectives
21-23,Male,6-8 hours,Stay calm and think logically,Ignore it,Avoid confrontation,Take time to recover,Logical reasoning,Delay the decision,Overthink repeatedly,Avoid attending,Wait for others to start,Moderately,Lose focus,Take time to adjust,Believe familiar sources,Accept but feel uncomfortable,Consider multiple perspectives
24-26,Male,Less than 2 hours,Stay calm and think logically,Ignore it,Solve the issue calmly,Try again immediately,Logical reasoning,Analyze pros and cons,Feel confident,Actively interact with many people,Start the conversation,Slightly,Feel stressed but continue,Adapt quickly,Verify from multiple sources,Accept but feel uncomfortable,Consider multiple perspectives
21-23,Male,4-6 hours,Feel anxious but manage it,Feel upset for a long time,Solve the issue calmly,Take time to recover,Logical reasoning,Ask multiple people,Overthink repeatedly,Stay quiet mostly,Start the conversation,Moderately,Procrastinate,Take time to adjust,Trust what matches your beliefs,Defend your point,Consider multiple perspectives
21-23,Female,More than 8 hours,Stay calm and think logically,Accept and reflect,Solve the issue calmly,Try again immediately,Logical reasoning,Analyze pros and cons,Rarely think about it again,Actively interact with many people,Start the conversation,Slightly,Feel stressed but continue,Take time to adjust,Verify from multiple sources,Accept but feel uncomfortable,Consider multiple perspectives
18-20,Female,More than 8 hours,Feel anxious but manage it,Feel upset for a long time,Argue strongly,Feel demotivated,Emotional instinct,Analyze pros and cons,Overthink repeatedly,Talk to a few close individuals,Start the conversation,Moderately,Procrastinate,Resist the change,Believe familiar sources,Accept but feel uncomfortable,Consider multiple perspectives
21-23,Female,4-6 hours,React emotionally,Ignore it,Solve the issue calmly,Take time to recover,Emotional instinct,Analyze pros and cons,Overthink repeatedly,Talk to a few close individuals,Start the conversation,Moderately,Stay productive,Take time to adjust,Believe familiar sources,Accept immediately,Consider multiple perspectives
21-23,Male,4-6 hours,Withdraw from the situation,Accept and reflect,Avoid confrontation,Try again immediately,Logical reasoning,Analyze pros and cons,Overthink repeatedly,Talk to a few close individuals,Start the conversation,Moderately,Feel stressed but continue,Take time to adjust,Verify from multiple sources,Accept but feel uncomfortable,Consider multiple perspectives
Above 26,Prefer not to say,More than 8 hours,Withdraw from the situation,Feel upset for a long time,Seek third-person support,Blame external factors,Advice from others,Delay the decision,Rarely think about it again,Avoid attending,Avoid interaction,Not at all,Procrastinate,Feel overwhelmed,Rarely verify,Ignore the evidence,Avoid complex problems
18-20,Female,6-8 hours,Feel anxious but manage it,Accept and reflect,Solve the issue calmly,Try again immediately,Logical reasoning,Analyze pros and cons,Overthink repeatedly,Avoid attending,Avoid interaction,Slightly,Feel stressed but continue,Take time to adjust,Verify from multiple sources,Accept immediately,Consider multiple perspectives
18-20,Male,4-6 hours,Feel anxious but manage it,Accept and reflect,Solve the issue calmly,Blame external factors,Situational pressure,Ask multiple people,Overthink repeatedly,Talk to a few close individuals,Feel nervous but try,Slightly,Lose focus,Feel overwhelmed,Trust what matches your beliefs,Accept but feel uncomfortable,Ask others for help
18-20,Male,More than 8 hours,Feel anxious but manage it,Accept and reflect,Solve the issue calmly,Take time to recover,Logical reasoning,Analyze pros and cons,Overthink repeatedly,Talk to a few close individuals,Wait for others to start,Slightly,Stay productive,Take time to adjust,Believe familiar sources,Accept immediately,Consider multiple perspectives
18-20,Male,4-6 hours,Feel anxious but manage it,Ignore it,Solve the issue calmly,Take time to recover,Logical reasoning,Ask multiple people,Feel confident,Stay quiet mostly,Feel nervous but try,Strongly,Stay productive,Take time to adjust,Verify from multiple sources,Defend your point,Consider multiple perspectives
18-20,Male,6-8 hours,Feel anxious but manage it,Ignore it,Solve the issue calmly,Try again immediately,Logical reasoning,Ask multiple people,Rarely think about it again,Talk to a few close individuals,Avoid interaction,Moderately,Feel stressed but continue,Take time to adjust,Verify from multiple sources,Accept but feel uncomfortable,Consider multiple perspectives
18-20,Male,4-6 hours,Feel anxious but manage it,Accept and reflect,Solve the issue calmly,Take time to recover,Emotional instinct,Analyze pros and cons,Feel confident,Talk to a few close individuals,Feel nervous but try,Strongly,Feel stressed but continue,Take time to adjust,Verify from multiple sources,Accept but feel uncomfortable,Consider multiple perspectives
18-20,Male,2-4 hours,Stay calm and think logically,Defend yourself immediately,Argue strongly,Try again immediately,Logical reasoning,Analyze pros and cons,Feel confident,Actively interact with many people,Start the conversation,Moderately,Feel stressed but continue,Adapt quickly,Verify from multiple sources,Accept immediately,Consider multiple perspectives
21-23,Male,6-8 hours,Withdraw from the situation,Ignore it,Argue strongly,Try again immediately,Logical reasoning,Go with your first instinct,Overthink repeatedly,Stay quiet mostly,Wait for others to start,Not at all,Feel stressed but continue,Adapt quickly,Rarely verify,Accept but feel uncomfortable,Avoid complex problems
18-20,Male,6-8 hours,Stay calm and think logically,Accept and reflect,Solve the issue calmly,Try again immediately,Logical reasoning,Analyze pros and cons,Feel confident,Actively interact with many people,Start the conversation,Strongly,Stay productive,Adapt quickly,Verify from multiple sources,Accept immediately,Consider multiple perspectives
24-26,Female,Less than 2 hours,Feel anxious but manage it,Feel upset for a long time,Solve the issue calmly,Feel demotivated,Logical reasoning,Ask multiple people,Overthink repeatedly,Actively interact with many people,Avoid interaction,Moderately,Feel stressed but continue,Feel overwhelmed,Rarely verify,Defend your point,Consider multiple perspectives
Above 26,Female,2-4 hours,Feel anxious but manage it,Feel upset for a long time,Argue strongly,Blame external factors,Logical reasoning,Analyze pros and cons,Overthink repeatedly,Talk to a few close individuals,Start the conversation,Slightly,Feel stressed but continue,Adapt quickly,Verify from multiple sources,Accept immediately,Avoid complex problems
18-20,Female,2-4 hours,Feel anxious but manage it,Defend yourself immediately,Solve the issue calmly,Take time to recover,Logical reasoning,Go with your first instinct,Feel confident,Actively interact with many people,Start the conversation,Slightly,Stay productive,Adapt quickly,Verify from multiple sources,Accept but feel uncomfortable,Consider multiple perspectives
18-20,Female,More than 8 hours,Feel anxious but manage it,Defend yourself immediately,Argue strongly,Blame external factors,Situational pressure,Go with your first instinct,Rarely think about it again,Talk to a few close individuals,Feel nervous but try,Strongly,Lose focus,Take time to adjust,Trust what matches your beliefs,Defend your point,Ask others for help
18-20,Female,2-4 hours,Feel anxious but manage it,Ignore it,Solve the issue calmly,Take time to recover,Logical reasoning,Go with your first instinct,Overthink repeatedly,Actively interact with many people,Start the conversation,Slightly,Feel stressed but continue,Adapt quickly,Believe familiar sources,Accept but feel uncomfortable,Consider multiple perspectives
18-20,Female,4-6 hours,Feel anxious but manage it,Accept and reflect,Solve the issue calmly,Take time to recover,Emotional instinct,Ask multiple people,Doubt yourself,Talk to a few close individuals,Wait for others to start,Moderately,Feel stressed but continue,Take time to adjust,Verify from multiple sources,Accept immediately,Consider multiple perspectives
Above 26,Male,2-4 hours,Stay calm and think logically,Ignore it,Solve the issue calmly,Take time to recover,Situational pressure,Analyze pros and cons,Overthink repeatedly,Talk to a few close individuals,Wait for others to start,Slightly,Feel stressed but continue,Take time to adjust,Trust what matches your beliefs,Defend your point,Consider multiple perspectives
21-23,Male,2-4 hours,Withdraw from the situation,Ignore it,Argue strongly,Feel demotivated,Advice from others,Go with your first instinct,Overthink repeatedly,Talk to a few close individuals,Wait for others to start,Strongly,Procrastinate,Resist the change,Rarely verify,Defend your point,Consider multiple perspectives
21-23,Female,More than 8 hours,Feel anxious but manage it,Ignore it,Argue strongly,Try again immediately,Logical reasoning,Go with your first instinct,Rarely think about it again,Avoid attending,Feel nervous but try,Moderately,Feel stressed but continue,Adapt quickly,Verify from multiple sources,Accept immediately,Consider multiple perspectives
18-20,Male,More than 8 hours,Feel anxious but manage it,Defend yourself immediately,Solve the issue calmly,Feel demotivated,Logical reasoning,Analyze pros and cons,Overthink repeatedly,Talk to a few close individuals,Feel nervous but try,Slightly,Procrastinate,Take time to adjust,Verify from multiple sources,Accept but feel uncomfortable,Consider multiple perspectives
